City,Locality / Area,Property Type,Bedrooms,Rent Price,Furnishing Status,Size,Amenities,Project/Owner Name,Contact / Listing Link,Additional Notes
Ahmedabad,Vaishno Devi Circle,Flat,2 BHK,28000,Semi furnished,1214 sq.ft,"24x7 Security, Children Play Area, Close to Jain Temple, Close to Mall",Homezy Space,N/A,N/A
Ahmedabad,Jagatpur,Flat,4 BHK,50000,Semi furnished,4105 sq.ft,"School Proximity, Swimming Pool, 24x7 Security, Close to Hospital",Preetam Yadav,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,28000,Semi furnished,1280 sq.ft,"Children Play Area, 24x7 Security, Gymnasium, Close to Grocery Stores",QUALITY LIVING PROPERTY SOLUTIONS,N/A,N/A
Ahmedabad,Bodakdev,Flat,3 BHK,49000,Fully furnished,1965 sq.ft,"Lift, Parking, Power Backup, Intercom",JAY DWARKADHISH REAL ESTATE,N/A,N/A
Ahmedabad,Shantigram,Flat,3 BHK,42500,Semi furnished,2200 sq.ft,"Pool, Gym, Lift, Parking",J P Tripathi,N/A,N/A
Ahmedabad,Makarba,Flat,3 BHK,37000,Fully furnished,1663 sq.ft,"Gated Community, Good Cross Ventilation, Landscaped Garden, Lift",Jain Dishant Laxmilal Nahar,N/A,N/A
Ahmedabad,Shantigram,Flat,3 BHK,59990,Fully furnished,2335 sq.ft,"24x7 Security, Gymnasium, Children Play Area, Landscaped Garden",HOME ADDRESS REALTY,N/A,N/A
Ahmedabad,Motera,Flat,3 BHK,43000,Semi furnished,1800 sq.ft,"24x7 Security, Metro Station Proximity, Gymnasium, Fire Fighting Systems",Dravya Realty,N/A,N/A
Ahmedabad,Bopal,Flat,3 BHK,55000,Fully furnished,1755 sq.ft,"Power Backup, Garden, Sports Facility, Kids Area
R",Rajit,N/A,N/A
Ahmedabad,Chandkheda,Independent Builder Floor,2 BHK,25000,Fully furnished,1206 sq.ft,"Gym, Lift, Parking, Intercom",Venky Acharya,N/A,N/A
Ahmedabad,Shela,Flat,2 BHK,27000,Fully furnished,750 sq.ft,"Pool, Gym, Lift, Parking",Universal Estate,N/A,N/A
Ahmedabad,Chharodi,Flat,2 BHK,25000,Fully furnished,1250 sq.ft,"24x7 Security, Lift, Gated Community",R G Property,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,34500,Fully furnished,1209 sq.ft,"Children Play Area, 24x7 Security, Swimming Pool, Gated Community",City Address Realty,N/A,N/A
Ahmedabad,Sanand,Flat,2 BHK,15000,Un-furnished,1200 sq.ft,"Amphitheatre, Motion Sensor, Landscaped Garden, Fire Fighting Systems",Nivaas Properties,N/A,N/A
Ahmedabad,South Bopal,Flat,3 BHK,31000,Semi furnished,1500 sq.ft,"Pool, Gym, Lift, Pool, Parking",Neeraj Bhojwani,N/A,N/A
Ahmedabad,Shilaj,Flat,3 BHK,30000,Un-furnished,1750 sq.ft,"Children Play Area, Gymnasium, Landscaped Garden, Swimming Pool",Shree Sai Realty,N/A,N/A
Ahmedabad,Shela,Flat,3 BHK,24000,Semi furnished,1510 sq.ft,"Pool, Gym, Lift, Parking",Infrataur,N/A,N/A
Ahmedabad,Tragad,Flat,2 BHK,32000,Fully furnished,1250 sq.ft,"Parking, Power Backup, Garden, Kids Area",Galaxy Space Realtors,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,18000,Un-furnished,818 sq.ft,Parking,Deepak Desai,N/A,N/A
Ahmedabad,Vastrapur,Flat,4 BHK,246000,Fully furnished,4400 sq.ft,"24x7 Security, Power Backup, Children Play Area, Service Lift",Satyanarayan Estate,N/A,N/A
Ahmedabad,Ambli,Flat,5 BHK,450000,Semi furnished,6700 sq.ft,"24x7 Security, Close to ATM, Close to Bus Stop, Close to Grocery Stores",RREALTOR STUDIO LLP,N/A,N/A
Ahmedabad,Shela,Flat,3 BHK,26000,Semi furnished,1700 sq.ft,"Power Backup, Service Lift, 24x7 Security, Security Guards",Metro Real Estate,N/A,N/A
Ahmedabad,Bopal,Flat,3 BHK,34250,Semi furnished,1095 sq.ft,"24 Hours Concierge, 24x7 Security, Power Backup, Lift",Akshar Property Advisor,N/A,N/A
Ahmedabad,Paldi,Flat,2 BHK,35000,Fully furnished,1377 sq.ft,"Physically Disabled Friendly, Power Backup, Fire Fighting Systems, Basketball Court",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,23000,Semi furnished,1100 sq.ft,"24x7 Security, Business Center, Children Play Area, Close to Grocery Stores",Anoop,N/A,N/A
Ahmedabad,Shela,Flat,2 BHK,26000,Un-furnished,1454 sq.ft,"24x7 Security, Gymnasium, Kid's Pool, Gated Community",Agrawal Real Estate,N/A,N/A
Ahmedabad,Jagatpur,Flat,1 BHK,22000,Un-furnished,550 sq.ft,"Anti Skid Titles, Amphitheatre, Aerobics Room, 24x7 Security
R",Realest,N/A,N/A
Ahmedabad,Satellite,Flat,4 BHK,40000,Fully furnished,3000 sq.ft,"Lift, Parking, Intercom, Garden",Darshanshah1982,N/A,N/A
Ahmedabad,Shela,Flat,2 BHK,21000,Semi furnished,1140 sq.ft,"Pool, Gym, Lift, Parking",N/A,N/A,N/A
Ahmedabad,Shela,Flat,3 BHK,26000,Semi furnished,1700 sq.ft,"Power Backup, Service Lift, 24x7 Security, Security Guards",Metro Real Estate,N/A,N/A
Ahmedabad,South Bopal,Flat,2 BHK,23000,Semi furnished,854 sq.ft,"Power Backup, Service Lift, 24x7 Security, Security Guards",Metro Real Estate,N/A,N/A
Ahmedabad,Bopal,Flat,3 BHK,34250,Semi furnished,1095 sq.ft,"24 Hours Concierge, 24x7 Security, Power Backup, Lift",Akshar Property Advisor,N/A,N/A
Ahmedabad,Vaishno Devi Circle,Flat,2 BHK,23000,Semi furnished,1216 sq.ft,"Pool, Gym, Lift, Parking",Homezy Space,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,22500,Un-furnished,1080 sq.ft,Parking,Homezy Space,N/A,N/A
